Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
51;22786;"Policy Studies Journal";journal;"0190292X, 15410072";"Wiley-Blackwell Publishing Ltd";No;No;2,066;Q1;96;58;133;4529;889;120;6,00;78,09;41,74;9;27;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1972-2025";"Management, Monitoring, Policy and Law (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Environmental Science; Social Sciences"
52;15499;"Journal of Experimental Social Psychology";journal;"00221031, 10960465";"Academic Press Inc.";No;No;2,065;Q1;180;100;318;7138;1477;314;3,99;71,38;41,72;0;12;United States;Northern America;"Academic Press Inc.";"1965-2025";"Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
53;19878;"Journal of European Public Policy";journal;"14664429, 13501763";"Routledge";No;No;2,048;Q1;140;235;347;16270;2324;310;6,21;69,23;35,82;54;111;United Kingdom;Western Europe;"Routledge";"1994-2025";"Political Science and International Relations (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Social Sciences"
54;22861;"Political Psychology";journal;"0162895X, 14679221";"Wiley-Blackwell Publishing Ltd";No;No;2,047;Q1;125;126;196;10045;1177;195;5,30;79,72;46,15;0;43;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1996-2025";"Clinical Psychology (Q1); Experimental and Cognitive Psychology (Q1); Philosophy (Q1); Political Science and International Relations (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
55;26261;"Review of International Political Economy";journal;"09692290, 14664526";"Routledge";No;No;2,010;Q1;92;89;250;7885;1519;245;6,14;88,60;37,68;12;54;United Kingdom;Western Europe;"Routledge";"1994-2025";"Economics and Econometrics (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
56;29561;"Journals of Gerontology - Series B Psychological Sciences and Social Sciences";journal;"10795014, 17585368";"Gerontological Society of America";No;No;1,995;Q1;186;234;766;11275;3851;749;3,82;48,18;58,52;3;73;United States;Northern America;"Gerontological Society of America";"1995-2025";"Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Medicine; Nursing; Psychology; Social Sciences"
57;14946;"Group Processes and Intergroup Relations";journal;"14617188, 13684302";"SAGE Publications Ltd";No;No;1,990;Q1;97;104;282;7507;1575;278;4,59;72,18;52,98;0;27;United Kingdom;Western Europe;"SAGE Publications Ltd";"1998-2025";"Arts and Humanities (miscellaneous) (Q1); Communication (Q1); Cultural Studies (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Psychology; Social Sciences"
58;23439;"Politics and Society";journal;"00323292, 15527514";"SAGE Publications Inc.";No;No;1,973;Q1;84;29;65;0;344;60;4,30;0,00;19,64;3;17;United States;Northern America;"SAGE Publications Inc.";"1970-1990, 1992-2024";"Political Science and International Relations (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Social Sciences"
59;22890;"Political Studies";journal;"00323217, 14679248";"SAGE Publications Ltd";No;No;1,967;Q1;110;154;171;10787;929;170;5,13;70,05;30,67;10;59;United Kingdom;Western Europe;"SAGE Publications Ltd";"1953-2025";"Sociology and Political Science (Q1)";"Social Sciences"
60;13358;"Sociology of Education";journal;"00380407, 19398573";"SAGE Publications Inc.";No;No;1,965;Q1;116;20;53;1594;261;51;3,49;79,70;58,49;2;12;United States;Northern America;"SAGE Publications Inc.";"1980, 1983, 1992, 1996-2025";"Education (Q1); Sociology and Political Science (Q1)";"Social Sciences"
61;26796;"Socio-Economic Review";journal;"14751461";"Oxford University Press";No;No;1,947;Q1;80;58;239;4483;1162;231;3,33;77,29;32,48;12;38;United Kingdom;Western Europe;"Oxford University Press";"2005-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Social Sciences"
62;26362;"Journal of Peace Research";journal;"00223433";"SAGE Publications Ltd";No;No;1,941;Q1;127;135;225;8532;1125;224;4,07;63,20;37,45;12;61;United Kingdom;Western Europe;"SAGE Publications Ltd";"1964-2025";"Political Science and International Relations (Q1); Safety Research (Q1); Sociology and Political Science (Q1)";"Social Sciences"
63;18405;"Educational Technology and Society";journal;"11763647, 14364522";"International Forum of Educational Technology and Society,National Taiwan Normal University";Yes;Yes;1,924;Q1;117;87;160;5276;1661;156;9,13;60,64;48,36;0;30;Taiwan;Asiatic Region;"International Forum of Educational Technology and Society,National Taiwan Normal University";"1998-2025";"Education (Q1); E-learning (Q1); Engineering (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Engineering; Social Sciences"
64;24592;"European Journal of International Relations";journal;"13540661";"SAGE Publications Ltd";No;No;1,892;Q1;107;57;134;5359;647;132;3,85;94,02;38,55;4;16;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
65;16956;"Cities";journal;"02642751";"Elsevier Ltd";No;No;1,839;Q1;141;759;1376;57691;11736;1369;7,82;76,01;41,08;12;649;United Kingdom;Western Europe;"Elsevier Ltd";"1983-2025";"Development (Q1); Sociology and Political Science (Q1); Tourism, Leisure and Hospitality Management (Q1); Urban Studies (Q1)";"Business, Management and Accounting; Social Sciences"
66;11600153640;"Quarterly Journal of Political Science";journal;"15540634, 15540626";"Now Publishers Inc";No;No;1,828;Q1;46;13;50;667;87;48;1,94;51,31;16,67;2;3;United States;Northern America;"Now Publishers Inc";"2006-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
67;20444;"Legislative Studies Quarterly";journal;"03629805, 19399162";"Wiley-Blackwell";No;No;1,812;Q1;66;61;102;3832;302;102;3,29;62,82;29,92;1;17;United States;Northern America;"Wiley-Blackwell";"1996-2025";"Sociology and Political Science (Q1)";"Social Sciences"
68;15673;"Journal of Rural Studies";journal;"07430167";"Elsevier Ltd";No;No;1,763;Q1;146;243;839;19190;6033;836;6,68;78,97;53,71;8;183;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Social Sciences"
69;23574;"Public Opinion Quarterly";journal;"0033362X, 15375331";"Oxford University Press";No;No;1,721;Q1;124;52;147;2678;543;145;2,79;51,50;28,06;2;17;United Kingdom;Western Europe;"Oxford University Press";"1937-2024";"Communication (Q1); History (Q1); History and Philosophy of Science (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Social Sciences"
70;16192;"Media, Culture and Society";journal;"01634437, 14603675";"SAGE Publications Ltd";No;No;1,716;Q1;93;135;305;6631;1662;302;4,68;49,12;52,17;2;38;United Kingdom;Western Europe;"SAGE Publications Ltd";"1979-2025";"Communication (Q1); Sociology and Political Science (Q1)";"Social Sciences"
71;28122;"Perspectives on Sexual and Reproductive Health";journal;"15386341";"Wiley-Blackwell";No;No;1,704;Q1;101;37;47;1654;186;46;3,93;44,70;81,13;1;36;United States;Northern America;"Wiley-Blackwell";"1996-2025";"Obstetrics and Gynecology (Q1); Public Health, Environmental and Occupational Health (Q1); Sociology and Political Science (Q1)";"Medicine; Social Sciences"
72;21100899442;"Comparative Migration Studies";journal;"2214594X";"SpringerOpen";Yes;No;1,693;Q1;39;59;135;3921;815;124;3,88;66,46;55,56;2;41;Switzerland;Western Europe;"SpringerOpen";"2013-2025";"Demography (Q1); Geography, Planning and Development (Q1); Law (Q1); Sociology and Political Science (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Social Sciences"
73;11700154366;"Journal of Leadership and Organizational Studies";journal;"19397089, 15480518";"SAGE Publications Inc.";No;No;1,687;Q1;66;26;87;2423;585;83;7,14;93,19;42,03;2;5;United States;Northern America;"SAGE Publications Inc.";"1996-1999, 2008-2025";"Business and International Management (Q1); Management Science and Operations Research (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
74;25772;"International Affairs";journal;"14682346, 00205850";"Wiley-Blackwell";No;No;1,667;Q1;104;122;287;12219;1384;279;4,15;100,16;40,50;18;29;United Kingdom;Western Europe;"Wiley-Blackwell";"1979-1986, 1988-1989, 1996-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
75;21100264650;"European Political Science Review";journal;"17557739, 17557747";"Cambridge University Press";No;No;1,661;Q1;54;60;103;4235;421;102;3,15;70,58;28,57;0;28;United Kingdom;Western Europe;"Cambridge University Press";"2009-2025";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
76;15564;"Journal of Language and Social Psychology";journal;"15526526, 0261927X";"SAGE Publications Inc.";No;No;1,593;Q1;68;34;103;1836;498;102;3,13;54,00;59,76;0;6;United States;Northern America;"SAGE Publications Inc.";"1982-2025";"Anthropology (Q1); Education (Q1); Linguistics and Language (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
