Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
44;144927;"Child Abuse Review";journal;"09529136";"John Wiley and Sons Ltd";No;No;0,400;Q4;55;69;152;3010;202;127;1,35;43,62;75,11;2;57;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1992-2025";"Law (Q2); Pediatrics, Perinatology and Child Health (Q2); Social Work (Q4)";"Medicine; Social Sciences"
45;4700152757;"Journal of Religion and Spirituality in Social Work";journal;"15426440, 15426432";"Routledge";No;No;0,362;Q4;27;36;86;1815;98;76;1,00;50,42;67,14;0;16;United States;Northern America;"Routledge";"2004-2025";"Religious Studies (Q1); Public Health, Environmental and Occupational Health (Q3); Social Work (Q4)";"Arts and Humanities; Medicine; Social Sciences"
46;19800188063;"China Journal of Social Work";journal;"17525098, 17525101";"Routledge";No;No;0,347;Q4;15;11;64;442;71;55;1,00;40,18;33,33;0;3;United Kingdom;Western Europe;"Routledge";"2010-2025";"Sociology and Political Science (Q2); Health (social science) (Q3); Social Work (Q4)";"Social Sciences"
47;5000153902;"Journal of Social Work Practice in the Addictions";journal;"1533256X";"Routledge";No;No;0,308;Q4;31;35;87;1365;79;75;0,80;39,00;67,26;0;26;United States;Northern America;"Routledge";"2001-2025";"Health (social science) (Q3); Rehabilitation (Q3); Social Work (Q4)";"Medicine; Social Sciences"
48;21100217604;"Siglo Cero";journal;"02101696";"University of Salamanca";Yes;Yes;0,292;Q4;14;24;94;810;81;93;0,61;33,75;75,00;5;10;Spain;Western Europe;"University of Salamanca";"2012, 2015-2024";"Education (Q3); Psychiatry and Mental Health (Q3); Psychology (miscellaneous) (Q3); Social Psychology (Q4); Social Work (Q4)";"Medicine; Psychology; Social Sciences"
49;5000153601;"Journal of Teaching in Social Work";journal;"15407349, 08841233";"Routledge";No;No;0,257;Q4;35;31;110;1176;138;103;0,95;37,94;79,27;0;14;United States;Northern America;"Routledge";"1987-2025";"Education (Q3); Sociology and Political Science (Q3); Social Work (Q4)";"Social Sciences"
50;14615;"Social Work and Social Sciences Review";journal;"17466105, 09535225";"Whiting and Birch";No;No;0,235;Q4;13;15;59;437;52;51;0,90;29,13;33,33;0;7;United Kingdom;Western Europe;"Whiting and Birch";"1997-1998, 2000, 2004-2005, 2007-2008, 2010-2015, 2017-2024";"Health (social science) (Q3); Sociology and Political Science (Q3); Social Work (Q4)";"Social Sciences"
51;4700152402;"Journal of Family Social Work";journal;"10522158";"Routledge";No;No;0,224;Q4;31;6;50;238;32;38;0,52;39,67;60,00;0;1;United States;Northern America;"Routledge";"1994-2025";"Development (Q3); Sociology and Political Science (Q3); Social Work (Q4)";"Social Sciences"
52;14594;"Social Work/Maatskaplike Werk";journal;"23127198, 00378054";"University of Stellenbosch";Yes;No;0,182;Q4;20;44;105;2616;60;94;0,50;59,45;54,24;0;15;South Africa;Africa;"University of Stellenbosch";"1973-1974, 1977, 1994-2024";"Sociology and Political Science (Q3); Social Work (Q4)";"Social Sciences"
53;4700152401;"Psychoanalytic Social Work";journal;"15228878";"Routledge";No;No;0,169;Q4;14;21;31;870;16;30;0,46;41,43;64,00;0;4;United States;Northern America;"Routledge";"1999-2024";"Social Sciences (miscellaneous) (Q3); Social Psychology (Q4); Social Work (Q4)";"Psychology; Social Sciences"
54;12100156089;"Ljetopis Socijalnog Rada";journal;"18465412";"University of Zagreb";Yes;Yes;0,124;Q4;12;15;77;634;21;73;0,24;42,27;83,33;0;6;Croatia;Eastern Europe;"University of Zagreb";"2008-2024";"Developmental and Educational Psychology (Q4); Education (Q4); Social Work (Q4); Sociology and Political Science (Q4)";"Psychology; Social Sciences"
55;29759;"Indian Journal of Social Work";journal;"24567809, 00195634";"Tata Institute of Social Sciences";No;No;0,108;Q4;10;9;95;234;11;78;0,16;26,00;40,00;0;6;India;Asiatic Region;"Tata Institute of Social Sciences";"1945-1948, 1977, 1982, 1991, 1996-2024";"Social Sciences (miscellaneous) (Q4); Social Work (Q4); Sociology and Political Science (Q4)";"Social Sciences"
