folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
25427;"Revista bíblica.";"Editorial Verbo Divino";1;1;10559;Argentina;2683-7153;0034-7078;;"Antropología, Arqueología, Ciencias sociales y humanidades, Cultura, Derecho comparado, Etica, Filosofía, Historia, Lingüística, Literatura, Religión, Sociología, Epigrafía, Filología"
13233;"Revista bioetnia";"Instituto de Investigaciones Ambientales del Pacífico ";0;;;Colombia;;;1990-0561;Antropología
28958;"Revista Brasileira de Estudos em Dança";"Universidade Federal do Rio de Janeiro (UFRJ)";1;0;11718;Brasil;2764-782X;2764-782X;;"Antropología, Arte, Educación, Folklore, Danza"
24219;"Revista Brasileira de Linguística Antropológica";"Universidade de Brasília (UnB)";1;;;Brasil;2317-1375;2176-834X;;"Antropología, Lingüística"
26109;"Revista Brasileira de Previdência";"Centro Universitário Curitiba (UNICURITIBA)";1;;;Brasil;2317-0158;2317-0158;;"Administración, Antropología, Ciencia política y administración pública, Contabilidad, Demografía, Derecho y jurisprudencia, Derecho comparado, Derecho laboral, Derecho procesal, Sociología, Economía internacional, Defensa y seguridad"
27821;"Revista Brasileira de Sexualidade Humana";"Sociedade Brasileira de Estudos em Sexualidade Humana (SBRASH)";1;;;Brasil;2675-1194;0103-6122;0103-6122;"Antropología, Ciencias sociales y humanidades, Sociología"
25615;"Revista Buriti";"Universidade do Estado do Amazonas (UEA)";1;;;Brasil;2595-6795;2595-6795;;"Antropología, Ciencias sociales y humanidades, Derecho civil, Sociología, Derechos humanos"
25986;"Revista Cadernos de Ciências Sociais";"Universidade Federal de Campina Grande (UFCG)";1;;;Brasil;2674-855X;2526-6403;;"Antropología, Ciencias sociales y humanidades, Educación, Etnología, Religión, Sociología, Estudios de género, Derechos humanos"
24750;"Revista Calundu";"Tânia Mara Campos de Almeida";1;;;Brasil;2526-9704;2526-9704;;"Antropología, Ciencias sociales y humanidades, Derecho civil, Historia, Multidisciplinarias, Sociología, Estudios latinoamericanos, Estudios de género, Derechos humanos, Estudios regionales"
27754;"Revista CENTRA de Ciencias Sociales";"Fundación Centro de Estudios Andaluces";1;1;11676;España;2951-8156;2951-8156;2951-6641;"Antropología, Ciencia política y administración pública, Ciencias de la comunicación, Economía, Educación, Sociología"
13502;"Revista chilena de antropología";"Universidad de Chile. Facultad de Filosofía. Humanidades y Educación. Departamento de Antropología";1;0;4776;Chile;0719-1472;0716-3312;0716-3312;"Antropología, Arqueología"
13503;"Revista chilena de antropología visual";"Centro de Estudios en Antropología Visual";1;0;4777;Chile;0717-876X;0717-876X;;Antropología
24921;"Revista Ciências da Sociedade";"Universidade Federal do Oeste do Pará (UFOPA)";1;0;10369;Brasil;2594-3987;2594-3987;;"Antropología, Arqueología, Botánica, Filosofía, Geografía, Historia, Literatura, Sociología, Estudios locales, Ictiología, Ciencias de la tierra, Recursos naturales no renovables, Trabajo social, Ciencia y Tecnología, Estudios de género, Planificación urbana, Medio ambiente, Ciencias naturales, Estudios regionales"
23118;"Revista Científica Arbitrada de la Fundación MenteClara";"Fundación MenteClara";1;1;9646;Argentina;2469-0783;2469-0783;;"Antropología, Ciencia política y administración pública, Historia de la ciencia, Medicina, Sociología"
24975;"Revista científica cultura, comunicación y desarrollo";"Universo Sur";1;1;11765;Cuba;2664-3111;;;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Sociología"
25524;"Revista científica de la Facultad de Filosofía";"Dirección de Investigación - Facultad de Filosofía - Universidad Nacional de Asunción";1;1;10586;Paraguay;2414-8717;;;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Cultura, Educación, Etica, Filosofía, Historia, Literatura, Psicología, Sociología, Humanidades, Trabajo social"
24666;"Revista Científica Foz";"Faculdade Vale do Cricaré (FVC)";1;;;Brasil;2594-8849;2594-8849;;"Administración, Antropología, Arquitectura, Ciencia política y administración pública, Ciencias sociales y humanidades, Cultura, Economía, Filosofía, Fotografía, Geografía, Literatura, Psicología, Sociología, Urbanismo, Estudios locales, Humanidades, Educación superior, Planificación urbana, Medio ambiente, Derechos humanos"
28632;"Revista Científica UPAP";"Universidad Politécnica y Artística del Paraguay (UPAP).";1;;;Paraguay;2789-8857;2789-8857;;"Agronomía, Anestesiología, Antropología, Arquitectura, Arte, Ciencias exactas"
13658;"Revista colombiana de antropología";"Instituto Colombiano de Antropología e Historia";1;0;4855;Colombia;2539-472X;0486-6525;0486-6525;Antropología
