Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
45;18402;"Medicine, Health Care and Philosophy";journal;"15728633, 13867423";"Springer Netherlands";No;No;0,893;Q1;55;51;191;2797;679;177;3,82;54,84;50,00;1;10;Netherlands;Western Europe;"Springer Netherlands";"1998-2025";"Education (Q1); Health Policy (Q1); Health (social science) (Q1); Philosophy (Q1)";"Arts and Humanities; Medicine; Social Sciences"
46;145523;"Cognition, Technology and Work";journal;"14355558, 14355566";"Springer London";No;No;0,869;Q1;55;45;123;2714;561;122;4,94;60,31;30,51;2;12;United Kingdom;Western Europe;"Springer London";"2002-2025";"Philosophy (Q1); Computer Science Applications (Q2); Human-Computer Interaction (Q2)";"Arts and Humanities; Computer Science"
47;19900191537;"International Theory";journal;"17529727, 17529719";"Cambridge University Press";No;No;0,856;Q1;43;18;84;1847;179;83;2,18;102,61;24,00;0;3;United Kingdom;Western Europe;"Cambridge University Press";"2009-2025";"Law (Q1); Philosophy (Q1); Political Science and International Relations (Q1)";"Arts and Humanities; Social Sciences"
48;19600163000;"Inquiry (United Kingdom)";journal;"15023923, 0020174X";"Routledge";No;No;0,848;Q1;43;318;443;12619;535;439;0,94;39,68;21,89;0;5;United Kingdom;Western Europe;"Routledge";"1958-2025";"Philosophy (Q1); Health Policy (Q2)";"Arts and Humanities; Medicine"
49;21101053582;"Business Ethics, the Environment and Responsibility";journal;"26946424, 26946416";"John Wiley and Sons Inc";No;No;0,840;Q1;56;165;271;15660;1414;253;5,83;94,91;44,42;0;91;United Kingdom;Western Europe;"John Wiley and Sons Inc";"2021-2025";"Philosophy (Q1); Business and International Management (Q2); Economics and Econometrics (Q2); Management, Monitoring, Policy and Law (Q2); Organizational Behavior and Human Resource Management (Q2)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
50;23974;"Journal of Symbolic Logic";journal;"00224812";"Cambridge University Press";No;No;0,831;Q1;49;123;256;3192;181;255;0,66;25,95;11,27;0;0;United Kingdom;Western Europe;"Cambridge University Press";"1938, 1996-2025";"Logic (Q1); Philosophy (Q1)";"Arts and Humanities; Mathematics"
51;5700163963;"Politics, Philosophy and Economics";journal;"1470594X";"SAGE Publications Inc.";No;No;0,828;Q1;40;32;59;1713;138;57;2,36;53,53;17,95;0;12;United States;Northern America;"SAGE Publications Inc.";"2002-2025";"Philosophy (Q1); Sociology and Political Science (Q1); Economics and Econometrics (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
52;11700154508;"Ethics in Science and Environmental Politics";journal;"16118014, 18635415";"Inter-Research";Yes;Yes;0,824;Q1;23;7;15;427;110;15;1,90;61,00;26,32;0;3;Germany;Western Europe;"Inter-Research";"2001-2024";"Ecology (Q1); Education (Q1); Philosophy (Q1); Sociology and Political Science (Q1); Management, Monitoring, Policy and Law (Q2)";"Arts and Humanities; Environmental Science; Social Sciences"
53;13699;"Biology and Philosophy";journal;"15728404, 01693867";"Springer Science and Business Media B.V.";No;No;0,815;Q1;62;34;159;2065;364;159;1,75;60,74;29,55;0;3;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1986-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); History and Philosophy of Science (Q1); Philosophy (Q1)";"Agricultural and Biological Sciences; Arts and Humanities"
54;22103;"Analysis";journal;"14678284, 00032638";"Oxford University Press";No;No;0,814;Q1;56;44;217;1011;183;208;0,54;22,98;16,00;0;0;United Kingdom;Western Europe;"Oxford University Press";"1933-1940, 1947-1994, 1996-2024";"Philosophy (Q1)";"Arts and Humanities"
55;12824;"Philosophical Psychology";journal;"09515089, 1465394X";"Routledge";No;No;0,809;Q1;58;218;205;12930;417;197;1,92;59,31;30,38;1;14;United Kingdom;Western Europe;"Routledge";"1988-2025";"Philosophy (Q1); Applied Psychology (Q2)";"Arts and Humanities; Psychology"
56;21101049148;"Kantian Journal";journal;"02076918, 23103701";"Immanuel Kant Baltic Federal University";Yes;Yes;0,804;Q1;4;19;76;1036;36;73;0,44;54,53;27,78;0;3;Russian Federation;Eastern Europe;"Immanuel Kant Baltic Federal University";"2019-2024";"Philosophy (Q1)";"Arts and Humanities"
57;29632;"Review of Religious Research";journal;"22114866, 0034673X";"Sage Publications";No;No;0,778;Q1;50;41;87;2025;184;86;1,98;49,39;45,33;0;13;United States;Northern America;"Sage Publications";"1977, 1979, 1985, 1989-1990, 1992, 1996-2025";"Philosophy (Q1); Religious Studies (Q1)";"Arts and Humanities"
58;22258;"Bioethics";journal;"14678519, 02699702";"Wiley-Blackwell Publishing Ltd";No;No;0,769;Q1;70;120;358;1125;860;309;2,37;9,38;43,75;2;37;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1987-2025";"Philosophy (Q1); Health Policy (Q2); Health (social science) (Q2)";"Arts and Humanities; Medicine; Social Sciences"
59;22086;"American Philosophical Quarterly";journal;"00030481";"University of Illinois Press";No;No;0,766;Q1;36;29;88;1111;105;87;0,90;38,31;15,15;0;3;United States;Northern America;"University of Illinois Press";"1973, 1977, 1979-1980, 1988, 2001-2025";"Philosophy (Q1)";"Arts and Humanities"
60;21101270277;"Philosophy and the Mind Sciences";journal;"26990369";"Ruhr-University of Bochum";Yes;Yes;0,766;Q1;15;39;49;2340;95;46;1,51;60,00;36,73;0;0;Germany;Western Europe;"Ruhr-University of Bochum";"2020-2025";"Philosophy (Q1); Psychology (miscellaneous) (Q2); Cognitive Neuroscience (Q3)";"Arts and Humanities; Neuroscience; Psychology"
61;21100821145;"Journal of the American Philosophical Association";journal;"20534477, 20534485";"Cambridge University Press";No;No;0,755;Q1;25;40;137;1710;205;137;1,48;42,75;17,02;0;4;United Kingdom;Western Europe;"Cambridge University Press";"2015-2025";"Philosophy (Q1)";"Arts and Humanities"
62;12100156093;"Sport, Ethics and Philosophy";journal;"17511321, 1751133X";"Routledge";No;No;0,749;Q1;27;60;109;2648;265;100;2,81;44,13;22,11;0;8;United Kingdom;Western Europe;"Routledge";"2007-2025";"Philosophy (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Sports Science (Q3)";"Arts and Humanities; Health Professions"
63;25433;"Monist";journal;"00269662, 21533601";"Oxford University Press";No;No;0,718;Q1;38;30;103;1458;162;102;1,40;48,60;31,25;0;3;United Kingdom;Western Europe;"Oxford University Press";"1973, 1976-1977, 1981, 1984, 1987, 1993, 2002-2008, 2014-2025";"Philosophy (Q1)";"Arts and Humanities"
64;5600155308;"Canadian Slavonic Papers";journal;"00085006";"Taylor and Francis Ltd.";No;No;0,716;Q1;16;28;78;1385;90;64;1,28;49,46;66,67;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1977-1979, 1996-2024";"Cultural Studies (Q1); History (Q1); Linguistics and Language (Q1); Literature and Literary Theory (Q1); Philosophy (Q1); Sociology and Political Science (Q1); Visual Arts and Performing Arts (Q1)";"Arts and Humanities; Social Sciences"
65;14300154705;"Neuroethics";journal;"18745490, 18745504";"Springer Netherlands";No;No;0,709;Q1;42;36;126;2266;389;126;4,13;62,94;33,68;2;4;Netherlands;Western Europe;"Springer Netherlands";"2007, 2009-2025";"Issues, Ethics and Legal Aspects (Q1); Philosophy (Q1); Health Policy (Q2); Psychiatry and Mental Health (Q2); Neurology (Q3)";"Arts and Humanities; Medicine; Neuroscience; Nursing"
66;27207;"Social Epistemology";journal;"02691728, 14645297";"Routledge";No;No;0,705;Q1;44;102;169;4941;401;167;2,20;48,44;33,87;0;15;United Kingdom;Western Europe;"Routledge";"1987-2025";"Philosophy (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
67;22308;"Philosophy of Science";journal;"1539767X, 00318248";"Cambridge University Press";No;No;0,695;Q1;89;115;180;4503;218;179;1,02;39,16;34,15;0;6;United Kingdom;Western Europe;"Cambridge University Press";"1949, 1980, 1996-2025";"History (Q1); History and Philosophy of Science (Q1); Philosophy (Q1)";"Arts and Humanities"
68;25207;"Archive for Mathematical Logic";journal;"14320665, 09335846";"Springer New York";No;No;0,689;Q1;33;61;146;1175;72;145;0,46;19,26;9,18;0;0;United States;Northern America;"Springer New York";"1988-2025";"Logic (Q1); Philosophy (Q1)";"Arts and Humanities; Mathematics"
69;5000157103;"Continental Philosophy Review";journal;"13872842";"Springer Netherlands";No;No;0,688;Q1;32;36;92;1501;146;91;1,03;41,69;30,23;0;2;Netherlands;Western Europe;"Springer Netherlands";"1996-2002, 2005-2025";"Philosophy (Q1)";"Arts and Humanities"
70;4900152613;"Husserl Studies";journal;"01679848";"Springer Netherlands";No;No;0,688;Q1;20;18;42;683;60;41;1,43;37,94;31,25;0;0;Netherlands;Western Europe;"Springer Netherlands";"1984-2002, 2006-2025";"Philosophy (Q1)";"Arts and Humanities"
71;95587;"Thought";journal;"21612234";"John Wiley and Sons Ltd";No;No;0,688;Q1;15;0;32;0;41;32;0,00;0,00;0,00;0;0;United States;Northern America;"John Wiley and Sons Ltd";"2012, 2014-2021";"Philosophy (Q1)";"Arts and Humanities"
72;145538;"Argumentation";journal;"15728374, 0920427X";"Springer Netherlands";No;No;0,679;Q1;40;25;83;1272;145;83;1,79;50,88;30,23;0;4;Netherlands;Western Europe;"Springer Netherlands";"1987-2025";"Linguistics and Language (Q1); Philosophy (Q1)";"Arts and Humanities; Social Sciences"
73;15982;"Journal of Medicine and Philosophy (United Kingdom)";journal;"03605310, 17445019";"Oxford University Press";No;No;0,663;Q1;61;43;149;2259;284;148;1,90;52,53;22,22;0;7;United Kingdom;Western Europe;"Oxford University Press";"1976-2025";"Philosophy (Q1); Issues, Ethics and Legal Aspects (Q2); Medicine (miscellaneous) (Q2)";"Arts and Humanities; Medicine; Nursing"
74;21100999215;"Analytic Philosophy";journal;"2153960X, 21539596";"John Wiley and Sons Ltd";No;No;0,659;Q1;6;60;95;2340;80;88;0,85;39,00;14,29;0;3;United States;Northern America;"John Wiley and Sons Ltd";"2020-2025";"Philosophy (Q1)";"Arts and Humanities"
75;1000147118;"Journal of Academic Ethics";journal;"15701727";"Springer Netherlands";No;No;0,659;Q1;34;102;107;5662;402;103;4,04;55,51;50,78;1;15;Netherlands;Western Europe;"Springer Netherlands";"2003, 2005-2025";"Arts and Humanities (miscellaneous) (Q1); Philosophy (Q1); Sociology and Political Science (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
76;21101185196;"Nazhruna: Jurnal Pendidikan Islam";journal;"26148013";"Institut Pesantren KH Abdul Chalim";Yes;No;0,657;Q1;8;35;31;1853;107;31;3,45;52,94;22,62;0;9;Indonesia;Asiatic Region;"Institut Pesantren KH Abdul Chalim";"2023-2024";"History (Q1); Philosophy (Q1); Religious Studies (Q1); Social Sciences (miscellaneous) (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
77;19700187608;"Reflective Practice";journal;"14623943, 14701103";"Taylor and Francis Ltd.";No;No;0,657;Q1;37;62;164;2727;407;154;2,38;43,98;62,11;0;13;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003, 2009-2025";"Philosophy (Q1)";"Arts and Humanities"
78;21100344997;"Research Ethics";journal;"17470161, 20476094";"SAGE Publications Ltd";Yes;No;0,657;Q1;21;68;95;3561;294;89;2,95;52,37;59,57;1;17;United Kingdom;Western Europe;"SAGE Publications Ltd";"2014-2025";"Philosophy (Q1); Education (Q2)";"Arts and Humanities; Social Sciences"
79;145571;"Journal for General Philosophy of Science";journal;"09254560, 15728587";"Springer Netherlands";No;No;0,654;Q1;22;40;94;1727;162;89;1,61;43,18;25,49;0;0;Netherlands;Western Europe;"Springer Netherlands";"1980, 1986, 1990-2025";"History and Philosophy of Science (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1)";"Arts and Humanities; Social Sciences"
